u,v,deg_i,deg_j,triangle,Xi,sho_max,c_BF,c_OR,c_OR0,Theta_const,Theta_slope,Theta_at_t,env_upper,cOR_lower_from_cBF,cOR_upper_from_cBF,cBF_lower_from_cOR,cBF_upper_from_cOR
31,62,2,2,0,0,1.0,0.0,0.0,0.0,0.6666666666666665,0.3333333333333333,0.6666666666666665,0.33333333333333326,0.0,0.33333333333333326,0.0,0.0
31,104,2,3,0,0,1.0,-0.3333333333333335,-0.24999999999999978,-0.33333333333333326,0.5952380952380951,0.29761904761904756,0.5952380952380951,0.16666666666666663,-0.3055555555555556,0.16666666666666663,-0.3333333333333335,-0.24999999999900052
32,155,2,2,0,0,1.0,0.0,0.0,0.0,0.6666666666666665,0.3333333333333333,0.6666666666666665,0.33333333333333326,0.0,0.33333333333333326,0.0,0.0
32,174,2,4,0,0,1.0,-0.5,-0.3999999999999997,-0.5,0.5666666666666667,0.2833333333333333,0.5666666666666667,0.06666666666666665,-0.4666666666666667,0.06666666666666665,-0.5,-0.39999999999900027
33,34,1,3,0,0,1.0,0.0,0.25,0.0,0.8333333333333333,0.4166666666666667,0.8333333333333333,0.5,-0.25,0.5,0.0,0.6666666666666665
34,35,3,5,0,0,1.0,-0.9333333333333333,-0.75,-0.9333333333333331,0.4333333333333333,0.21666666666666662,0.4333333333333333,-0.16666666666666669,-0.7833333333333334,-0.16666666666666669,-0.9333333333333333,-0.8888888888878897
34,97,3,2,0,0,1.0,-0.3333333333333335,-0.25,-0.33333333333333326,0.5952380952380951,0.29761904761904756,0.5952380952380951,0.16666666666666663,-0.3055555555555556,0.16666666666666663,-0.3333333333333335,-0.24999999999900052
35,36,5,6,0,0,1.0,-1.2666666666666666,-1.0714285714285712,-1.2666666666666666,0.3113553113553113,0.15567765567765568,0.3113553113553113,-0.380952380952381,-1.0793650793650795,-0.380952380952381,-1.2666666666666666,-1.2571428571418568
35,69,5,7,0,0,1.0,-1.3142857142857143,-1.125,-1.314285714285714,0.2976190476190476,0.14880952380952378,0.2976190476190476,-0.4166666666666667,-1.1369047619047623,-0.4166666666666667,-1.3142857142857143,-1.299999999999
35,141,5,3,1,0,1.0,-0.19999999999999996,-0.16666666666666652,-0.19999999999999996,0.4333333333333333,0.21666666666666662,0.6499999999999999,0.24999999999999997,-0.23333333333333342,0.4657534246575341,-0.9333333333333333,-0.11111111111011196
35,142,5,2,1,0,1.0,0.29999999999999993,0.16666666666666674,0.09999999999999998,0.5555555555555556,0.2777777777777778,0.8333333333333334,0.4999999999999999,-0.08333333333333329,0.4999999999999999,-0.6000000000000001,0.29999999999999993
36,37,6,1,0,0,1.0,0.0,-0.07142857142857117,1.1102230246251565e-16,0.8412698412698413,0.4206349206349206,0.8412698412698413,0.2857142857142857,-0.35714285714285715,0.2857142857142857,0.0,0.3333333333333335
36,38,6,1,0,0,1.0,0.0,-0.07142857142857117,1.1102230246251565e-16,0.8412698412698413,0.4206349206349206,0.8412698412698413,0.2857142857142857,-0.35714285714285715,0.2857142857142857,0.0,0.3333333333333335
36,39,6,1,0,0,1.0,0.0,-0.0714285714285714,1.1102230246251565e-16,0.8412698412698413,0.4206349206349206,0.8412698412698413,0.2857142857142857,-0.35714285714285715,0.2857142857142857,0.0,0.3333333333333335
36,47,6,5,0,0,1.0,-1.2666666666666666,-1.0714285714285712,-1.2666666666666666,0.3113553113553113,0.15567765567765568,0.3113553113553113,-0.380952380952381,-1.0793650793650795,-0.380952380952381,-1.2666666666666666,-1.2571428571418568
36,157,6,4,0,0,1.0,-1.1666666666666667,-0.9714285714285713,-1.1666666666666665,0.35238095238095235,0.1761904761904762,0.35238095238095235,-0.3142857142857143,-0.9904761904761906,-0.3142857142857143,-1.1666666666666667,-1.1428571428561427
40,97,2,2,0,0,1.0,0.0,0.0,0.0,0.6666666666666665,0.3333333333333333,0.6666666666666665,0.33333333333333326,0.0,0.33333333333333326,0.0,0.0
40,202,2,2,0,0,1.0,0.0,0.0,0.0,0.6666666666666665,0.3333333333333333,0.6666666666666665,0.33333333333333326,0.0,0.33333333333333326,0.0,0.0
41,42,5,3,0,0,1.0,-0.9333333333333333,-0.75,-0.9333333333333331,0.4333333333333333,0.21666666666666662,0.4333333333333333,-0.16666666666666669,-0.7833333333333334,-0.16666666666666669,-0.9333333333333333,-0.8888888888878897
41,58,5,4,1,0,1.0,-0.45000000000000007,-0.3666666666666665,-0.44999999999999973,0.3696969696969697,0.18484848484848487,0.5545454545454546,0.1,-0.3933333333333334,0.43209876543209874,-1.1,-0.4166666666656663
41,167,5,2,1,0,1.0,0.29999999999999993,0.16666666666666674,0.09999999999999998,0.5555555555555556,0.2777777777777778,0.8333333333333334,0.4999999999999999,-0.08333333333333329,0.4999999999999999,-0.6000000000000001,0.29999999999999993
41,218,5,3,0,0,1.0,-0.9333333333333333,-0.75,-0.9333333333333331,0.4333333333333333,0.21666666666666662,0.4333333333333333,-0.16666666666666669,-0.7833333333333334,-0.16666666666666669,-0.9333333333333333,-0.8888888888878897
41,232,5,2,0,0,1.0,-0.6000000000000001,-0.5,-0.6000000000000003,0.5555555555555556,0.2777777777777778,0.5555555555555556,-5.551115123125783e-17,-0.5666666666666667,-5.551115123125783e-17,-0.6000000000000001,-0.49999999999900047
42,98,3,9,0,0,1.0,-1.1111111111111112,-0.95,-1.1111111111111107,0.4142857142857143,0.20714285714285713,0.4142857142857143,-0.3,-0.9833333333333334,-0.3,-1.1111111111111112,-1.066666666665667
42,181,3,2,0,0,1.0,-0.3333333333333335,-0.25,-0.33333333333333326,0.5952380952380951,0.29761904761904756,0.5952380952380951,0.16666666666666663,-0.3055555555555556,0.16666666666666663,-0.3333333333333335,-0.24999999999900052
